transaction_id,customer_token,transaction_amount_eur,transaction_type,channel,hour_of_day,day_of_week,country_code,is_foreign_country,transactions_last_24h,is_anomaly,transaction_date
58f51b4f2d5ccab8,d370bf88bb1fed68,136.3,purchase,api,21,2,AT,False,20,0,2024-06-06
06c989aa3b666ebd,cf6a24668294f154,313.6,payment,atm,8,0,DE,True,12,0,2024-11-19
4ca65520b9f48c97,cc3e28643aee16ef,62.39,payment,mobile,12,6,DE,False,10,0,2024-04-05
918669461c740689,22a8ddf01d9d2df3,374.03,purchase,branch,9,3,AT,False,16,0,2024-09-28
9a3869b64b22f49a,5f45a4b8ebe17768,47.78,transfer,api,22,4,DE,False,8,0,2024-03-09
7834850755c61b5f,5722d73095abd727,190.28,withdrawal,web,9,5,DE,False,9,0,2024-04-20
283eebdb7d13a86b,5d57564f1c1f0033,23.85,refund,atm,22,0,DE,False,4,0,2024-02-16
efe932c4dd74b82b,448e54f978934d2e,199.89,purchase,web,17,0,DE,False,18,0,2024-12-13
6870b8fd709b88bc,149396c4c5912808,88.44,withdrawal,mobile,1,3,CH,False,30,0,2024-11-09
ad15d763f66623e4,77e0b6a5284edb40,93.84,withdrawal,branch,3,3,US,False,24,0,2024-09-25
f98f6a88bafe6c38,124941d12cb83091,422.1,withdrawal,branch,3,4,DE,False,29,1,2024-12-18
76b12687d5fa80b5,6278347022e40fe1,35.1,purchase,atm,23,2,CH,False,30,0,2024-07-31
b15e29d0b5b03bdb,b622fd7faab4e0fc,35.43,withdrawal,mobile,1,0,DE,False,3,0,2024-11-23
8469891d8671c7c9,a2fa5f5fb5b6d810,107.05,withdrawal,mobile,7,3,DE,False,0,0,2024-07-27
b0dd541c45d1deed,651c548260d1130f,7.79,transfer,api,19,4,DE,False,8,0,2024-08-02
effb410f7d89adfa,fedfe36dcf07da5a,1508.24,withdrawal,mobile,16,4,DE,False,26,0,2024-01-11
f80df6d227136662,f8229df896de7e70,198.07,purchase,branch,13,6,AT,False,3,0,2024-03-06
bab81ae7457afa0e,1383c0e777d7e42a,33.03,refund,web,0,3,DE,False,10,0,2024-04-18
bcce1155d0bcf945,09151ed2d74d2e19,41.77,payment,branch,16,4,DE,False,15,0,2024-09-05
8cfad4353d0a022f,3d9d6ee6fa361a6d,412.32,transfer,api,6,4,CH,False,30,0,2024-05-03
d6a45d7780554878,9743d8af544024c4,99.84,transfer,atm,9,1,DE,False,17,0,2024-09-27
